sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2276916,-0.5096,-0.0568,-0.9147,2.2969,0.7031,0.4531,no_tremor
1,2276939,-0.5303,-0.0660,-0.9166,-2.2344,-4.0312,1.1562,no_tremor
2,2276950,-0.5389,-0.0718,-0.9177,-4.2031,-14.8438,1.7344,no_tremor
3,2276961,-0.5439,-0.0778,-0.9187,-6.1875,-23.7344,-1.2188,no_tremor
4,2276984,-0.5690,-0.0781,-0.9261,-5.7500,-44.2500,-14.7031,no_tremor
5,2277017,-0.7047,0.0312,-0.9581,10.9219,-52.5312,-33.4375,no_tremor
6,2277028,-0.7551,0.0737,-0.9767,6.8281,-100.5469,-71.8594,no_tremor
7,2277039,-0.7754,0.0743,-0.9889,-31.9375,-160.0156,-88.2656,no_tremor
8,2277061,-0.8354,-0.0619,-0.9972,-11.9688,-69.1094,-115.0000,no_tremor
9,2277106,-1.2521,-0.2097,-0.7986,-41.0938,112.1875,-179.2656,no_tremor
10,2277140,-0.9291,-0.2355,-0.7489,-27.0156,152.7031,-212.4219,no_tremor
11,2277151,-0.8662,-0.2196,-0.8319,-17.0938,157.2344,-218.9062,no_tremor
12,2277162,-0.7971,-0.1932,-0.9178,-8.6406,143.3125,-218.7656,no_tremor
13,2277173,-0.7025,-0.1781,-1.0243,-3.6875,115.4375,-215.0156,no_tremor
14,2277184,-0.5609,-0.1880,-1.1078,3.1875,89.1875,-211.3125,no_tremor
15,2277196,-0.3829,-0.2200,-1.1622,12.2344,55.6250,-204.4062,no_tremor
16,2277207,-0.2070,-0.2561,-1.1984,25.1719,31.6562,-195.4375,no_tremor
17,2277218,-0.0767,-0.2765,-1.2300,38.9531,25.3281,-186.3438,no_tremor
18,2277229,-0.0144,-0.2722,-1.2612,54.6094,32.3125,-176.6094,no_tremor
19,2277296,0.0635,-0.1836,-1.2372,124.9062,53.7031,-95.2812,no_tremor
20,2277308,0.1194,-0.1857,-1.2118,133.7500,47.8125,-82.4375,no_tremor
21,2277319,0.1538,-0.1840,-1.1915,144.1094,44.0312,-66.8594,no_tremor
22,2277330,0.1787,-0.1774,-1.1771,152.2812,44.2500,-53.1406,no_tremor
23,2277342,0.1868,-0.1691,-1.1493,159.9375,42.1406,-37.6094,no_tremor
24,2277353,0.1879,-0.1677,-1.1118,165.2344,39.3438,-22.5781,no_tremor
25,2277386,0.2098,-0.2008,-0.9493,175.8438,24.8594,13.1562,no_tremor
26,2277397,0.2164,-0.2135,-0.8962,178.8906,19.7969,24.8438,no_tremor
27,2277408,0.2191,-0.2206,-0.8612,180.3281,17.8750,37.2812,no_tremor
28,2277419,0.2125,-0.2264,-0.8228,180.3594,19.0156,47.8438,no_tremor
29,2277430,0.1957,-0.2321,-0.7830,179.3906,22.3750,58.0000,no_tremor
30,2277442,0.1693,-0.2406,-0.7333,174.2656,30.8594,66.8906,no_tremor
31,2277453,0.1370,-0.2557,-0.6689,167.1250,36.2500,73.4531,no_tremor
32,2277464,0.1045,-0.2784,-0.5939,157.2031,45.4844,82.1406,no_tremor
33,2277475,0.0800,-0.3048,-0.5161,146.6562,49.0469,92.2344,no_tremor
34,2277543,0.0604,-0.3860,-0.1575,52.3594,-6.0938,140.0781,no_tremor
35,2277554,0.0411,-0.3868,-0.1376,42.9688,-16.9531,149.6875,no_tremor
36,2277565,0.0172,-0.3894,-0.1263,30.4688,-27.3750,155.5938,no_tremor
37,2277577,-0.0083,-0.3993,-0.1157,17.5938,-41.1094,164.0781,no_tremor
38,2277588,-0.0354,-0.4183,-0.1005,4.7500,-49.5156,170.9844,no_tremor
39,2277599,-0.0697,-0.4423,-0.0806,-8.6406,-48.5312,177.1875,no_tremor
40,2277632,-0.2689,-0.4552,-0.0537,-26.9531,4.8125,187.2500,no_tremor
41,2277644,-0.3823,-0.4287,-0.0665,-33.5625,29.5312,185.6094,no_tremor
42,2277655,-0.5070,-0.4033,-0.0830,-41.0312,50.2344,182.9375,no_tremor
43,2277666,-0.6285,-0.3925,-0.0939,-49.9219,66.0312,179.4688,no_tremor
44,2277677,-0.7323,-0.3995,-0.0958,-57.4688,73.3750,174.5625,no_tremor
45,2277689,-0.8071,-0.4207,-0.0912,-66.4688,70.6094,168.0156,no_tremor
46,2277700,-0.8424,-0.4451,-0.0828,-81.3594,58.5781,161.2344,no_tremor
47,2277711,-0.8564,-0.4849,-0.0745,-103.6250,42.6406,152.7031,no_tremor
48,2277757,-0.8518,-0.6251,-0.0865,-176.4219,-0.4375,102.1250,no_tremor
49,2277768,-0.9242,-0.6022,-0.1473,-180.4219,5.6250,87.1562,no_tremor
50,2277779,-1.0214,-0.5463,-0.2490,-178.6094,11.7344,72.4844,no_tremor
51,2277790,-1.1127,-0.4696,-0.3820,-172.9531,20.2031,67.9219,no_tremor
52,2277812,-1.1681,-0.3734,-0.6169,-165.3281,36.1094,50.4531,no_tremor
53,2277823,-1.1235,-0.3882,-0.6542,-178.1406,25.0312,37.5000,no_tremor
54,2277835,-1.0509,-0.4491,-0.6479,-188.4375,11.4844,25.4844,no_tremor
