sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
38,5793936,0.268,-0.7164730235933306,-0.01418608665666759,-1.2747121487644877,90.07871042042972,21.486699045284524,-55.96773583110202,no_tremor
39,5793946,0.278,-0.7287440058957646,-0.016732898928296457,-1.2795135597157143,96.01382868752248,24.13402160783637,-59.965774256806235,no_tremor
40,5793951,0.283,-0.7403361479145975,-0.019760771100907747,-1.282740131665712,101.91194883690041,26.863962029887496,-63.97544792906421,no_tremor
41,5793956,0.288,-0.7511394978870007,-0.02328568830333447,-1.2843054716142641,107.74607067754354,29.66404235519795,-67.97907026856436,no_tremor
42,5793988,0.32,-0.7610449056311526,-0.027321929156992667,-1.2841310862275086,113.48891141907923,32.52062202397904,-71.95844993331703,no_tremor
43,5793993,0.325,-0.7699449780915597,-0.03188198543281168,-1.2821471818966421,119.11307309621962,35.41896893516821,-75.89499865709222,no_tremor
44,5793998,0.33,-0.777735063179823,-0.0369764970263981,-1.2782934048560564,124.59121085082275,38.34334810280942,-79.76984407862537,no_tremor
45,5794003,0.335,-0.7843142518820996,-0.04261420215563347,-1.2725195121150203,129.8962001936329,41.277127151838016,-83.56394625162778,no_tremor
46,5794008,0.34,-0.7895863872678659,-0.04880190233176007,-1.2647859647146455,135.00130156325122,44.20289723791907,-87.2582164710837,no_tremor
47,5794012,0.344,-0.793461067700613,-0.05554444132488536,-1.2550644357855316,139.88032078908094,47.10260741877809,-90.83363706948495,no_tremor
48,5794017,0.349,-0.7958546303318257,-0.06284469703435223,-1.2433382270083901,144.50776437440572,49.95771010927501,-94.27138090585342,no_tremor
49,5794022,0.354,-0.7966910999919322,-0.07070358488150877,-1.2296025883144797,148.8589887882593,52.74931503573087,-97.55292937103246,no_tremor
50,5794027,0.359,-0.7959030880160247,-0.07912007107404871,-1.213864936952471,152.91034316309344,55.4583490530917,-100.66018785407395,no_tremor
51,5794032,0.364,-0.7934326254758987,-0.08809119386336993,-1.196144973350636,156.63930493176025,58.06571927259331,-103.57559774917333,no_tremor
52,5794036,0.368,-0.7892319158047958,-0.09761209074981295,-1.1764746924854137,160.02460800549738,60.55247713226513,-106.2822442217376,no_tremor
53,5794041,0.373,-0.7832639929136735,-0.1076760295054304,-1.1548982907054093,163.0463631058272,62.89998129037041,-108.76395908566266,no_tremor
54,5794046,0.378,-0.7755032725758682,-0.11827444089689548,-1.1314719691373185,165.68616983375495,65.09005749681585,-111.00541826232569,no_tremor
55,5794051,0.383,-0.7659359870289708,-0.12939695111310476,-1.1062636359078666,167.92722000792648,67.10515386891112,-112.99223338837922,no_tremor
56,5794056,0.388,-0.7545604953032883,-0.14103141213540799,-1.079352510451287,169.7543917490729,68.9284902426466,-114.71103721082447,no_tremor
57,5794061,0.393,-0.741387464603674,-0.15316392862563813,-1.050828634138153,171.15433374950487,70.544200474743,-116.14956245455006,no_tremor
58,5794065,0.397,-0.7264399209976539,-0.16577888033023203,-1.0207922923642891,172.1155391568552,71.93746672822606,-117.29671387419442,no_tremor
